Date,KBWB,XLI,REK,,KBWB_return,XLI_return,REK_return,,시가총액 비율,,,,공분산 행렬,,,,λ(2~4),τ(0.01~0.05)
11/24/2024,71.03,143.99,16.13,,0.005948166,0.009393621,-0.018498235,,KBWB,0.087810642,"1,910,000,000",,0.001368733,0.000757664,-0.000565785,,3,0.05
11/17/2024,70.61,142.65,16.434,,0.01949177,0.025447488,-0.024688427,,XLI,0.911667552,"19,830,000,000",,0.000757664,0.000675273,-0.000505252,,,
11/10/2024,69.26,139.11,16.85,,0.023042836,-0.020972623,0.022823844,,REK,0.000521807,"11,350,000",,-0.000565785,-0.000505252,0.000783171,,,
11/03/2024,67.7,142.09,16.474,,0.085980109,0.060294008,-0.026531939,,,,,,,,,,,
10/27/2024,62.34,134.01,16.923,,0.007270965,-0.010265879,0.032519829,,과거 데이터 기반 기대 수익률(시간가중),,,,,전망 확신도 구하기,,,,
10/20/2024,61.89,135.4,16.39,,-0.014647349,-0.02778775,0.015489467,,KBWB,0.002277068,0.12555125,,,KBWB,0.001366662,,0.515865795,
10/13/2024,62.81,139.27,16.14,,0.02832351,0.006140731,-0.028296207,,XLI,0.002267042,0.124965921,,,XLI,0.000674251,,0.761149335,
10/06/2024,61.08,138.42,16.61,,0.039482641,0.02147443,0.004232164,,REK,0.00222899,0.122747124,,,REK,0.000781986,,0.72298487,
09/29/2024,58.76,135.51,16.54,,0.008755365,0.005043388,0.019100431,,,주간,연환산,,,분산 합,0.002822899,,,
09/22/2024,58.25,134.83,16.23,,-0.015714769,0.012389248,-0.016304018,,,,,,,,,,,
09/15/2024,59.18,133.18,16.499,,0.045583039,0.019989278,0.015323077,,과거 데이터 기반 기대 수익률(단순평균),,,,,,,,,
09/08/2024,56.6,130.57,16.25,,0.002834869,0.037175312,-0.035035629,,KBWB,0.002246196,0.123749886,,,,,,,
09/01/2024,56.44,125.89,16.84,,-0.053178997,-0.042370303,0.000653634,,XLI,0.002240587,0.123422903,,,,,,,
08/25/2024,59.61,131.46,16.829,,0.020369736,0.016862624,0.00113028,,REK,0.002214409,0.121898082,,,,,,,
08/18/2024,58.42,129.28,16.81,,0.026352776,0.018193274,-0.037723968,,,,,,,,,,,
08/11/2024,56.92,126.97,17.469,,0.039255067,0.021644673,0.001835178,,,,,,,,,,,
08/04/2024,54.77,124.28,17.437,,0.004217088,0.012629349,0.00304878,,XLI 초과수익률,,,,,,,,,
07/28/2024,54.54,122.73,17.384,,-0.07715736,-0.028266033,-0.028338271,16년초,49.72,16년도 수익률,,0.269911504,,,,,,
07/21/2024,59.1,126.3,17.891,,0.026398055,0.01145191,-0.004507011,16년 말,63.14,17년도 수익률,,0.252296484,,,,,,
07/14/2024,57.58,124.87,17.972,,0.033010405,0.00555645,-0.010025339,17년말,79.07,,,,,,,,,
07/07/2024,55.74,124.18,18.154,,0.042843779,0.024418413,-0.041043791,,,,,,,,,,,
06/30/2024,53.45,121.22,18.931,,-0.000934579,-0.005333552,0.002329645,,,,,,,,,,,
06/23/2024,53.5,121.87,18.887,,0.018659558,-0.008945271,-0.020587015,,,,,,,,,,,
06/16/2024,52.52,122.97,19.284,,0.016057264,0.015022699,0.002338999,,,,,,,,,,,
06/09/2024,51.69,121.15,19.239,,-0.025636192,-0.009646039,-0.011356629,,,,,,,,,,,
06/02/2024,53.05,122.33,19.46,,-0.017956312,-0.009553882,0.003351379,,,,,,,,,,,
05/26/2024,54.02,123.51,19.395,,0.002226345,-0.007632974,-0.018570995,,,,,,,,,,,
05/19/2024,53.9,124.46,19.762,,-0.023550725,-0.006941674,0.039448769,,,,,,,,,,,
05/12/2024,55.2,125.33,19.012,,0.013401873,-0.00278485,-0.021966151,,,,,,,,,,,
05/05/2024,54.47,125.68,19.439,,0.028317916,0.023702859,-0.020458554,,,,,,,,,,,
04/28/2024,52.97,122.77,19.845,,0.006842806,0.000896788,-0.013569937,,,,,,,,,,,
04/21/2024,52.61,122.66,20.118,,0.025736011,0.0181788,-0.014789422,,,,,,,,,,,
04/14/2024,51.29,120.47,20.42,,0.020493434,-0.019772172,0.038815689,,,,,,,,,,,
04/07/2024,50.26,122.9,19.657,,-0.036611079,-0.022041856,0.031917686,,,,,,,,,,,
03/31/2024,52.17,125.67,19.049,,-0.027767425,-0.002302318,0.031124824,,,,,,,,,,,
03/24/2024,53.66,125.96,18.474,,0.031923077,0.005989937,-0.021556062,,,,,,,,,,,
03/17/2024,52,125.21,18.881,,0.027464928,0.02597509,-0.006210853,,,,,,,,,,,
03/10/2024,50.61,122.04,18.999,,-0.010363707,-0.00212592,0.031209292,,,,,,,,,,,
03/03/2024,51.14,122.3,18.424,,0.029802658,0.006418697,-0.013810085,,,,,,,,,,,
02/25/2024,49.66,121.52,18.682,,0.007711039,0.010813509,-0.019729248,,,,,,,,,,,
02/18/2024,49.28,120.22,19.058,,0.004279601,0.018554605,-0.007395833,,,,,,,,,,,
02/11/2024,49.07,118.03,19.2,,0.019318654,0.009234716,0.00140823,,,,,,,,,,,
02/04/2024,48.14,116.95,19.173,,-0.011092851,0.011853262,0.000260851,,,,,,,,,,,
01/28/2024,48.68,115.58,19.168,,-0.014973695,0.018954421,0.004612159,,,,,,,,,,,
01/21/2024,49.42,113.43,19.08,,0.024248705,0.008714984,0.005798629,,,,,,,,,,,
01/14/2024,48.25,112.45,18.97,,0,0.003032736,0.021540118,,,,,,,,,,,
01/07/2024,48.25,112.11,18.57,,-0.030735235,0.006102486,-0.004823151,,,,,,,,,,,
12/31/2023,49.78,111.43,18.66,,0.011994308,-0.02245811,0.023026316,,,,,,,,,,,
12/24/2023,49.19,113.99,18.24,,0.008611852,0.007601874,-0.007076756,,,,,,,,,,,
12/17/2023,48.77,113.13,18.37,,-0.012753036,0.000973279,-0.017647059,,,,,,,,,,,
12/10/2023,49.4,113.02,18.7,,0.081199387,0.03726138,-0.054122408,,,,,,,,,,,
12/03/2023,45.69,108.96,19.77,,0.016688919,0.002023175,0.005083884,,,,,,,,,,,
11/26/2023,44.94,108.74,19.67,,0.057660626,0.022569118,-0.044217687,,,,,,,,,,,
11/19/2023,42.49,106.34,20.58,,-0.009095149,0.006912224,-0.00867052,,,,,,,,,,,
11/12/2023,42.88,105.61,20.76,,0.068793619,0.029839103,-0.043758637,,,,,,,,,,,
11/05/2023,40.12,102.55,21.71,,-0.019070905,0.009350394,0.02212806,,,,,,,,,,,
10/29/2023,40.9,101.6,21.24,,0.113228089,0.05350477,-0.072489083,,,,,,,,,,,
10/22/2023,36.74,96.44,22.9,,-0.021571238,-0.02289767,0.00703606,,,,,,,,,,,
